"Step","grateful-water-1 - Ranks/pretrained_model.transformer.h.0.mlp.c_fc.weight.classical","grateful-water-1 - Ranks/pretrained_model.transformer.h.0.mlp.c_fc.weight.classical__MIN","grateful-water-1 - Ranks/pretrained_model.transformer.h.0.mlp.c_fc.weight.classical__MAX"
"20","1024","1024","1024"
"40","1024","1024","1024"
"60","1024","1024","1024"
"80","1024","1024","1024"
"100","1024","1024","1024"
"120","1024","1024","1024"
"140","1024","1024","1024"
"160","1024","1024","1024"
"180","1024","1024","1024"
"200","1024","1024","1024"
"220","1024","1024","1024"
"240","1024","1024","1024"
"260","1024","1024","1024"
"280","1024","1024","1024"
"300","1024","1024","1024"
"320","1024","1024","1024"
"340","1024","1024","1024"
"360","1024","1024","1024"
"380","1024","1024","1024"
"400","1024","1024","1024"
"420","1024","1024","1024"
"440","1024","1024","1024"
"460","1024","1024","1024"
"480","1024","1024","1024"
"500","1024","1024","1024"
"520","1024","1024","1024"
"540","1024","1024","1024"
"560","1024","1024","1024"
"580","1024","1024","1024"
"600","1024","1024","1024"
