"Step","grateful-water-1 - Ranks/pretrained_model.transformer.h.2.attn.c_proj.weight.effective","grateful-water-1 - Ranks/pretrained_model.transformer.h.2.attn.c_proj.weight.effective__MIN","grateful-water-1 - Ranks/pretrained_model.transformer.h.2.attn.c_proj.weight.effective__MAX"
"20","705.0256958007812","705.0256958007812","705.0256958007812"
"40","703.7734985351562","703.7734985351562","703.7734985351562"
"60","715.4636840820312","715.4636840820312","715.4636840820312"
"80","721.9696655273438","721.9696655273438","721.9696655273438"
"100","725.8827514648438","725.8827514648438","725.8827514648438"
"120","730.2094116210938","730.2094116210938","730.2094116210938"
"140","735.08251953125","735.08251953125","735.08251953125"
"160","736.4258422851562","736.4258422851562","736.4258422851562"
"180","739.1660766601562","739.1660766601562","739.1660766601562"
"200","740.8573608398438","740.8573608398438","740.8573608398438"
"220","743.2128295898438","743.2128295898438","743.2128295898438"
"240","745.08349609375","745.08349609375","745.08349609375"
"260","746.0643920898438","746.0643920898438","746.0643920898438"
"280","746.646240234375","746.646240234375","746.646240234375"
"300","749.2147827148438","749.2147827148438","749.2147827148438"
"320","750.6748657226562","750.6748657226562","750.6748657226562"
"340","752.1345825195312","752.1345825195312","752.1345825195312"
"360","753.2540283203125","753.2540283203125","753.2540283203125"
"380","754.0263061523438","754.0263061523438","754.0263061523438"
"400","754.6309204101562","754.6309204101562","754.6309204101562"
"420","756.0158081054688","756.0158081054688","756.0158081054688"
"440","757.2908325195312","757.2908325195312","757.2908325195312"
"460","757.8330688476562","757.8330688476562","757.8330688476562"
"480","758.5076904296875","758.5076904296875","758.5076904296875"
"500","759.2932739257812","759.2932739257812","759.2932739257812"
"520","759.8561401367188","759.8561401367188","759.8561401367188"
"540","760.3109741210938","760.3109741210938","760.3109741210938"
"560","760.7388916015625","760.7388916015625","760.7388916015625"
"580","761.2545776367188","761.2545776367188","761.2545776367188"
"600","761.8519287109375","761.8519287109375","761.8519287109375"
